userid	newsId	time
8936831	100656369	1395915117
8936831	100656551	1395915108
8936831	100656616	1395915103
8936831	100656637	1395915090
8936831	100656815	1395915079
8936831	100657146	1395915051
8936831	100657176	1395915022
8936831	100657188	1395915013
8936831	100657261	1395914986
1698962	100655181	1396022914
1698962	100658325	1396022782
1698962	100651182	1396022531
5756927	100651182	1395908986
719605	100656591	1395832481
281608	100651182	1395548747
4506041	100656709	1395857524
2951241	100655416	1395637395
2687128	100657261	1396254867
2687128	100657489	1396254754
9335706	100657188	1396231169
9335706	100656239	1396231142
9335706	100648645	1396229131
9335706	100658561	1396229010
451490	100658670	1396247392
451490	100658717	1396247250
451490	100654559	1396018837
451490	100658157	1396018144
451490	100656591	1395835873
451490	100622682	1395834400
451490	100648337	1395743814
451490	100654631	1395743619
451490	100593196	1395743510
451490	100619255	1395743421
451490	100655351	1395742969
451490	100656418	1395742894
451490	100655380	1395646050
451490	100655351	1395645980
451490	100655565	1395645724
451490	100652872	1395377232
451490	100654367	1395377100
3448834	100654434	1395370559
1040669	100655399	1395644442
1040669	100655420	1395644413
10903643	100651343	1395479059
10903643	100654455	1395473255
10903643	100655033	1395473236
10903643	100654861	1395473045
10903643	100651308	1395472919
10903643	100655033	1395472811
10903643	100651308	1395472808
10903643	100655033	1395472805
2379359	100656591	1395814025
2379359	100655938	1395678486
2379359	100655565	1395649124
6917492	100652586	1395641990
6917492	100655565	1395641967
6917492	100652919	1395375181
6917492	100651182	1395375111
6917492	100652919	1395375103
6917492	100651182	1395375102
312793	100656387	1395835558
312793	100656702	1395808395
312793	100650231	1395560340
312793	100652866	1395408637
312793	100650231	1395408405
312793	100638253	1395399158
12385546	100655071	1395969707
12385546	100655123	1395969644
12385546	100655188	1395969635
12385546	100655198	1395969629
12385546	100655297	1395969610
12385546	100655375	1395969596
12385546	100655399	1395969562
12385546	100655420	1395969552
12385546	100655552	1395969533
12385546	100655733	1395969502
12385546	100655960	1395969488
12385546	100656037	1395969471
12385546	100656057	1395966195
12385546	100656099	1395966178
12385546	100656150	1395966159
12385546	100656239	1395963120
12385546	100656369	1395963112
12385546	100656551	1395963105
12385546	100656616	1395963084
12385546	100656637	1395963066
12385546	100656815	1395963028
12385546	100657146	1395963012
12385546	100657176	1395962993
12385546	100657188	1395962982
12385546	100657261	1395962895
75	100652966	1395631764
75	100651182	1395623769
5287603	100654455	1395376449
3466412	100658441	1396172047
3466412	100657261	1395901437
3466412	100656239	1395740441
35311	100564602	1395841354
35311	100656897	1395839303
1867450	100656210	1396230870
1867450	100657974	1396230714
1867450	100658318	1396230413
1867450	100658372	1396230348
1867450	100657812	1396230272
1867450	100658519	1396230246
1867450	100656517	1396230137
1867450	100658473	1396229933
1867450	100653252	1396229867
1867450	100658474	1396228852
1867450	100658521	1396228764
1867450	100658554	1396228559
1867450	100658556	1396228458
1867450	100657828	1396228151
1867450	100657714	1395972416
1867450	100657689	1395971429
1867450	100652745	1395971316
1867450	100656031	1395709883
7384216	100656239	1395732559
7384216	100655399	1395644408
7384216	100655420	1395644340
1215591	100652966	1395879036
1215591	100653515	1395877565
1390649	100658519	1396223599
11979364	100657161	1395904352
11979364	100657181	1395904308
11979364	100657192	1395904226
11979364	100657188	1395904206
11979364	100657261	1395904167
264260	100653351	1395647570
264260	100652935	1395647483
264260	100653515	1395647325
264260	100655466	1395643274
264260	100651182	1395381563
8531610	100655960	1395731005
8531610	100656037	1395730988
8531610	100656057	1395730872
8531610	100656099	1395730867
8531610	100656150	1395730842
8531610	100656239	1395730826
3092211	100657261	1395900175
3092211	100656239	1395743972
3092211	100655420	1395640907
5479234	100655938	1395667397
11699786	100434294	1395903966
11699786	100651182	1395903952
11699786	100656721	1395821522
11699786	100656702	1395821456
11699786	100656583	1395821292
11699786	100654434	1395821251
11699786	100655367	1395821214
11699786	100656511	1395820189
11699786	100588481	1395808669
11699786	100655380	1395808536
11699786	100487321	1395808491
11699786	100652966	1395808447
10659111	100653403	1395732619
10659111	100656239	1395732536
10659111	100653327	1395650106
10659111	100652935	1395650039
10659111	100655420	1395649981
10659111	100651809	1395396980
10659111	100651880	1395396941
10659111	100651276	1395396860
10659111	100653351	1395396794
10659111	100653327	1395396745
10659111	100653403	1395396717
10659111	100651950	1395396641
10659111	100651469	1395396580
10659111	100652686	1395396514
10659111	100654204	1395396427
563346	100658505	1396270007
563346	100658438	1396189930
563346	100657055	1395978545
563346	100657012	1395978251
563346	100656223	1395841585
563346	100656447	1395841579
563346	100656031	1395841319
563346	100655260	1395539494
563346	100655221	1395536634
563346	100655081	1395536565
563346	100655235	1395536495
563346	100655066	1395536354
563346	100655195	1395536244
563346	100655042	1395465458
563346	100654847	1395465289
563346	100654734	1395465215
563346	100654390	1395463043
563346	100654382	1395462948
6856433	100657261	1395927718
6856433	100656239	1395747125
6856433	100654022	1395401486
6856433	100654204	1395401456
4459547	100465827	1395380362
4459547	100532299	1395380312
4459547	100654455	1395380288
4459547	100654434	1395370738
11964131	100642618	1395884793
11964131	100642609	1395884522
11964131	100642596	1395884165
11964131	100642311	1395883932
11964131	100642309	1395883616
11964131	100642302	1395883088
11964131	100642684	1395882867
11390461	100653275	1395748485
11390461	100656150	1395748470
11390461	100653275	1395748465
11390461	100656150	1395748449
11390461	100653327	1395748441
11390461	100656239	1395748429
11390461	100653327	1395748424
11390461	100656239	1395748408
11390461	100653327	1395748400
11390461	100656239	1395748388
11390461	100653327	1395748380
11390461	100656239	1395748361
11390461	100653327	1395748359
11390461	100656239	1395748343
11390461	100653327	1395748319
11390461	100653351	1395748262
11390461	100653403	1395748182
11390461	100656239	1395736936
8577937	100655420	1395742495
