userid	newsId
24378	100655181
24378	100655316
24378	100651182
24378	100654733
24378	100655104
24378	100655221
24378	100655195
24378	100655248
24378	100655044
24378	100655161
930	100655181
930	100654733
930	100654455
930	100655291
930	100655216
930	100654990
930	100655235
930	100654734
930	100655104
930	100654856
114232	100654733
114232	100655316
114232	100655181
114232	100655284
114232	100655195
114232	100655235
114232	100655161
114232	100655305
114232	100655291
114232	100654455
201983	100651182
201983	100655181
201983	100655044
201983	100655161
201983	100655104
201983	100654603
201983	100654734
201983	100655291
201983	100654733
201983	100655288
33131	100651182
33131	100655181
33131	100655161
33131	100655104
33131	100654733
33131	100655288
33131	100655044
33131	100655291
33131	100654603
33131	100654455
465609	100655181
465609	100654733
465609	100651182
465609	100566241
465609	100655123
465609	100654455
465609	100654734
465609	100584580
465609	100564299
465609	100655104
7736055	100655181
7736055	100655288
7736055	100655235
7736055	100654733
7736055	100651182
7736055	100655161
7736055	100655305
7736055	100655104
7736055	100655284
7736055	100655291
1162374	100655288
1162374	100654603
1162374	100655123
1162374	100653515
1162374	100651676
1162374	100651182
42406	100655104
42406	100655181
42406	100654733
42406	100651182
42406	100655316
42406	100654455
42406	100655288
42406	100654734
42406	100655284
42406	100655221
1213710	100651308
1213710	100655284
1213710	100655292
1213710	100655181
1213710	100654455
1213710	100655351
1213710	100655288
1213710	100655195
1213710	100655216
1213710	100485348
436316	100651182
436316	100655181
436316	100655288
436316	100654733
436316	100654455
436316	100655221
436316	100655161
436316	100654603
436316	100655316
436316	100655044
10017670	100651182
10017670	100654455
10017670	100654312
10017670	100654303
10017670	100654204
10017670	100653403
10017670	100652773
10017670	100652686
10017670	100535493
10164832	100655181
10164832	100654733
10164832	100655044
10164832	100655161
10164832	100649866
10164832	100655208
10164832	100654990
10164832	100655221
10164832	100651317
10164832	100654603
182632	100651182
182632	100654603
182632	100655181
182632	100655104
182632	100655044
182632	100654734
182632	100654733
182632	100655288
182632	100655123
182632	100655161
4253	100651182
4253	100655316
4253	100654733
4253	100655221
4253	100655104
4253	100655195
4253	100655181
4253	100655164
4253	100655044
4253	100655161
3354852	100651182
3354852	100655181
3354852	100654733
3354852	100655161
3354852	100655288
3354852	100654455
3354852	100655195
3354852	100655235
3354852	100655044
3354852	100655104
262679	100655148
262679	100655104
262679	100655288
262679	100655334
262679	100655241
262679	100645543
262679	100655316
262679	100651182
8815	100655181
8815	100655195
8815	100655235
8815	100655208
8815	100655288
8815	100655316
8815	100655149
8815	100655248
8815	100654603
8815	100655104
464608	100651182
464608	100654603
464608	100655044
464608	100655316
464608	100655351
464608	100655181
464608	100655161
464608	100655284
464608	100655291
464608	100654734
59794	100651182
59794	100655181
59794	100654455
59794	100654603
59794	100654733
59794	100655161
59794	100655316
59794	100655195
59794	100655119
59794	100655044
52022	100655181
52022	100655195
52022	100655044
52022	100655104
52022	100655316
52022	100654455
52022	100651343
52022	100654603
52022	100654733
52022	100655033
38940	100651182
38940	100655161
38940	100655181
38940	100654734
38940	100655044
38940	100654733
38940	100654990
38940	100655291
38940	100655288
38940	100654856
231780	100655221
231780	100655316
231780	100655161
231780	100655181
231780	100655235
231780	100655216
231780	100651182
231780	100655148
231780	100655044
231780	100654455
7619930	100655181
7619930	100655316
7619930	100655119
7619930	100655284
7619930	100655288
7619930	100655291
7619930	100651182
7619930	100655104
7619930	100654434
7619930	100655305
10430470	100655181
10430470	100655288
10430470	100655316
10430470	100655104
10430470	100655248
10430470	100651308
10430470	100654603
10430470	100654733
10430470	100655351
10430470	100655152
799560	100651182
799560	100654603
799560	100655104
799560	100655288
799560	100655044
799560	100654734
799560	100654733
799560	100655292
799560	100655221
799560	100655335
788073	100655164
788073	100654455
788073	100655148
788073	100654603
788073	100485348
788073	100655208
788073	100655181
788073	100654990
788073	100650416
788073	100655334
99739	100655181
99739	100655288
99739	100655104
99739	100655221
99739	100654733
99739	100651182
99739	100655119
99739	100655195
99739	100655161
99739	100655148
7402583	100654733
7402583	100655235
7402583	100655297
7402583	100655316
7402583	100651182
7402583	100655335
7402583	100655104
7402583	100655292
7402583	100655284
7402583	100654603
26947	100651182
26947	100655044
26947	100655161
26947	100654733
26947	100654734
26947	100654603
26947	100654990
26947	100655181
26947	100655168
26947	100655148
61761	100655181
61761	100651182
61761	100655195
61761	100655161
61761	100655221
61761	100654733
61761	100655288
61761	100655081
61761	100655316
61761	100655291
249923	100651182
249923	100655181
249923	100655044
249923	100655288
249923	100654455
249923	100655161
249923	100655248
249923	100654733
249923	100655221
249923	100655216
63433	100655181
63433	100566241
63433	100655044
63433	100564299
63433	100584580
63433	100655123
63433	100655284
63433	100654733
63433	100655033
63433	100654455
6998128	100655248
6998128	100653396
6998128	100655268
6998128	100655164
6998128	100654455
6998128	100655081
6998128	100655181
6998128	100654580
6998128	100655221
6998128	100655351
200404	100654603
200404	100651182
200404	100654733
200404	100655161
200404	100655288
200404	100652586
200404	100651396
200404	100650283
200404	100655148
200404	100655187
294218	100655181
294218	100655235
294218	100655195
294218	100655248
294218	100654603
294218	100655208
294218	100655216
294218	100655044
294218	100655221
294218	100651182
357322	100655181
357322	100655316
357322	100655161
357322	100655195
357322	100655164
357322	100651182
357322	100655221
357322	100655216
357322	100654603
357322	100655187
324372	100651182
324372	100655044
324372	100655216
324372	100655288
324372	100654733
324372	100655181
324372	100655161
324372	100655104
324372	100655195
324372	100655334
146117	100655195
146117	100655181
146117	100655288
146117	100651182
146117	100655161
146117	100654733
146117	100655235
146117	100655216
146117	100655044
146117	100655248
634657	100654434
634657	100655334
85727	100651182
85727	100655181
85727	100654734
85727	100654733
85727	100654990
85727	100655044
85727	100655161
85727	100654603
85727	100655268
85727	100655123
466877	100651182
466877	100654733
466877	100655104
466877	100654455
466877	100655161
466877	100655181
466877	100655148
466877	100654603
466877	100655164
466877	100655152
3772757	100655181
3772757	100654733
3772757	100655104
3772757	100655288
3772757	100654603
3772757	100655316
3772757	100655044
3772757	100651182
3772757	100654734
3772757	100655305
251977	100655195
251977	100655235
251977	100655248
251977	100655208
251977	100655044
251977	100651182
251977	100655181
251977	100655066
251977	100655149
251977	100655316
728029	100655288
728029	100651182
728029	100655044
728029	100654733
728029	100655104
728029	100655181
728029	100655292
728029	100655284
728029	100655195
728029	100655161
4949545	100655181
4949545	100654603
4949545	100655235
4949545	100655316
4949545	100651182
4949545	100655208
4949545	100655248
4949545	100655288
4949545	100655161
4949545	100654734
80978	100651182
80978	100655161
80978	100655181
80978	100655288
80978	100655221
80978	100655148
80978	100655044
80978	100655316
80978	100655195
80978	100655324
77119	100654603
77119	100655235
77119	100655316
77119	100655104
77119	100655195
77119	100655181
77119	100654733
77119	100655161
77119	100655248
77119	100655044
4843363	100655181
4843363	100654603
4843363	100654733
4843363	100655288
4843363	100651182
4843363	100655316
4843363	100654734
4843363	100655033
4843363	100655292
4843363	100566241
1134096	100647190
470753	100655195
470753	100655181
470753	100651182
470753	100655161
470753	100655316
470753	100655288
470753	100654734
470753	100655248
470753	100655235
470753	100654733
8368650	100655181
8368650	100566241
8368650	100655305
8368650	100655104
8368650	100655044
8368650	100655216
